Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
76,57,0,0,0
86,61,0,0,0
88,68,0,0,0
80,64,0.01,0,0
79,60,0.1,0,0
79,56,0,0,0
79,54,0,0,0
68,61,T,0,0
83,57,0,0,0
78,59,T,0,0
83,64,0.73,0,0
71,56,0,0,0
74,50,0,0,0
78,56,0.02,0,0
77,57,0,0,0
79,51,0,0,0
80,56,0,0,0
79,58,0.04,0,0
86,70,0.01,0,0
89,66,0,0,0
76,66,0.06,0,0
86,67,0.01,0,0
87,61,0,0,0
84,66,0,0,0
93,69,0,0,0
92,72,0,0,0
86,63,0,0,0
86,65,0,0,0
88,62,0,0,0
92,70,0,0,0
92,68,0,0,0
84,61,0.02,0,0
81,57,T,0,0
72,55,T,0,0
79,50,0,0,0
75,52,0,0,0
83,54,0,0,0
95,63,0,0,0
78,56,0.09,0,0
75,53,0,0,0
76,50,0,0,0
85,52,0,0,0
80,61,0,0,0
64,47,0.19,0,0
61,43,0,0,0
76,52,T,0,0
66,50,0,0,0
63,40,T,0,0
60,39,T,0,0
61,36,0,0,0
77,40,0,0,0
68,45,0,0,0
65,40,0,0,0
69,41,0,0,0
76,46,0,0,0
82,51,0,0,0
77,48,0,0,0
72,53,0,0,0
72,44,0,0,0
78,48,0,0,0
64,42,0,0,0
48,36,0,0,0
45,33,0,0,0
53,28,0,0,0
64,39,T,0,0
50,36,0.03,0,0
55,32,0,0,0
55,33,T,0,0
53,28,0,0,0
53,47,0.04,0,0
59,45,0,0,0
61,38,T,0,0
65,52,T,0,0
62,47,T,0,0
50,43,0.01,0,0
52,38,0.21,0,0
54,34,0,0,0
71,42,0,0,0
64,50,T,0,0
65,55,0.08,0,0
60,47,0.18,0,0
47,35,0.75,T,0
39,32,0,0,0
43,28,0,0,0
46,29,0,0,0
45,31,0,0,0
50,28,0,0,0
52,25,0,0,0
47,31,0,0,0
39,27,0,0,0
43,37,0,0,0
45,30,0.01,0,0
45,38,T,0,0
44,38,0.31,0,0
47,38,0,0,0
54,34,0,0,0
55,35,0,0,0
69,44,0.24,0,0
56,22,0.02,T,0
27,19,0.01,0.2,0
43,18,0,0,T
51,34,0,0,0
53,29,T,0,0
44,23,0,0,0
54,32,0,0,0
57,43,0,0,0
59,38,T,0,0
54,33,0,0,0
62,38,0,0,0
60,24,0.02,0.1,0
27,14,0.02,0.5,1
30,11,T,T,T
30,23,0,0,T
23,10,0,0,T
39,16,0,0,T
36,25,0,0,0
40,23,0,0,0
36,31,0,0,0
48,34,0,0,0
40,29,0,0,0
55,37,0.02,0,0
45,21,0,0,0
40,19,0,0,0
46,27,T,0,0
32,24,0.05,0.8,0
33,25,0,0,1
32,20,0.95,10.5,2
20,2,T,0.1,9
20,4,T,0.1,8
43,12,0,0,8
40,24,0,0,6
39,20,0,0,6
39,33,0.42,0.1,4
34,20,T,T,1
25,20,T,T,1
29,23,T,T,1
32,27,0.02,0.2,1
28,13,0.02,0.5,1
21,9,0,0,1
29,9,0,0,1
19,10,0,0,1
18,6,0.01,0.5,1
13,0,0,0,1
19,5,0,0,1
21,8,0.09,1,1
26,13,0.06,1.2,3
19,5,T,T,3
25,1,0,0,3
18,1,T,T,3
20,-5,T,T,3
21,14,0.01,0.4,3
22,11,T,0.6,3
30,16,0,0,3
26,10,0,0,3
24,10,0,0,3
36,15,0,0,3
35,16,0,0,3
35,25,0,0,3
39,24,0.28,0,2
41,34,0.02,0,1
39,5,T,T,0
9,2,T,T,0
14,5,0,0,T
30,10,0,0,T
36,14,0.02,0.3,T
20,6,T,T,T
41,17,0.01,0.1,T
39,2,0,0,T
9,-2,T,T,0
-2,-10,T,T,T
5,-12,0,0,T
17,-5,T,0.2,T
13,-6,T,T,T
21,4,T,T,T
23,2,0,0,0
33,21,0.49,3,0
33,30,T,0,3
33,25,0.03,0,2
26,6,T,T,2
7,-10,T,T,2
4,-13,0.06,2,2
9,0,0.03,0.7,4
13,3,0.04,0.9,4
14,3,0.06,1.2,5
27,8,0.05,1.2,6
23,3,0.04,0.7,5
25,18,T,0,5
23,16,0,0,5
29,22,0,0,5
35,25,0.62,2.2,5
32,19,T,0.1,6
36,16,0,0,6
39,20,0.09,0.5,6
34,15,0.09,1.1,7
18,6,0,0,7
20,2,T,T,7
32,9,0,0,7
34,9,0.01,0.3,6
10,0,T,T,6
19,-3,0,0,5
23,7,0,0,5
29,20,0.24,4.2,7
29,20,0,0,9
34,12,0,0,8
37,23,0,0,7
36,17,0,0,6
38,29,0,0,6
31,25,0,0,6
31,19,0,0,6
32,10,0,0,6
32,18,0,0,6
29,23,0.34,3.9,5
30,22,0.41,5.4,11
29,17,0,0,13
31,11,0,0,11
39,19,0,0,11
38,33,0.61,0,8
36,31,0.01,T,6
31,23,0,0,6
29,20,T,T,6
33,14,0,0,6
40,24,0.06,0.6,6
35,24,0.19,0.8,5
27,14,0,0,6
29,9,0,0,6
30,11,0.23,3.1,8
23,7,0,0,8
21,5,0,0,8
29,7,0,0,8
37,13,0,0,7
39,20,0,0,6
33,29,0,0,6
38,24,0,0,6
39,27,0,0,5
43,23,0,0,4
44,25,0,0,4
49,32,T,0,2
56,36,0.19,0,T
42,24,0,0,T
36,19,0,0,T
38,19,0,0,0
48,23,0,0,0
53,33,0,0,0
44,28,0.07,T,0
55,37,0.09,0,0
48,35,0.19,0,0
48,40,0.52,0,0
44,31,0.48,0.7,0
40,30,0.09,0.7,1
36,31,0.76,4.4,1
36,28,0.06,0.6,4
36,29,0.01,0.2,4
38,30,0.46,0.2,3
40,33,0,0,2
47,33,0,0,1
42,35,0.26,T,0
35,32,1.02,6.4,0
38,26,0.12,0.9,7
42,21,0,0,5
51,34,0.15,T,3
44,33,0.82,3.5,0
42,29,0.02,0.3,3
51,29,T,0,T
51,33,T,T,0
72,45,0.02,0,0
75,43,0,0,0
81,54,0.08,0,0
75,51,0,0,0
72,56,0,0,0
56,35,0.35,T,0
48,35,T,T,0
38,32,0.2,0.5,0
49,34,0.08,T,0
67,39,0,0,0
76,46,0,0,0
78,53,0,0,0
78,58,0.12,0,0
60,43,0.1,0,0
67,37,T,0,0
57,42,T,0,0
59,34,0,0,0
72,41,0.01,0,0
98,54,0,0,0
79,56,0,0,0
83,58,T,0,0
66,57,0.25,0,0
81,56,1.47,0,0
82,64,1.16,0,0
72,60,0.6,0,0
65,49,0.07,0,0
55,47,0.13,0,0
65,45,0,0,0
68,44,0.16,0,0
62,54,T,0,0
60,54,0,0,0
62,55,0.05,0,0
62,54,0.06,0,0
76,55,0.92,0,0
77,65,0.26,0,0
79,63,0.25,0,0
72,52,0.06,0,0
67,50,0,0,0
71,51,T,0,0
64,57,0.02,0,0
60,54,0.15,0,0
58,51,T,0,0
66,54,0,0,0
72,56,0,0,0
69,58,0.54,0,0
77,59,0,0,0
79,60,T,0,0
76,62,0.59,0,0
79,58,0,0,0
79,60,0.01,0,0
76,65,0.02,0,0
86,60,0.01,0,0
82,62,0,0,0
75,57,0,0,0
85,61,0,0,0
91,70,0,0,0
82,64,2.5,T,0
82,66,0.54,0,0
84,70,0.26,0,0
82,66,T,0,0
